detector,calibration,policy,distribution,status
HistGradientBoosting,isotonic,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,LinUCB,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,LinUCB,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,DQN,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,DQN,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,constrained_PPO,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,constrained_PPO,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,rule,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,rule,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,optimal_stopping,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,optimal_stopping,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,LinUCB,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,LinUCB,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,DQN,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,DQN,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,constrained_PPO,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,constrained_PPO,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,none,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,rule,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,rule,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,optimal_stopping,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,optimal_stopping,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,LinUCB,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,LinUCB,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,DQN,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,DQN,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,constrained_PPO,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,constrained_PPO,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,Platt,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,rule,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,rule,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,optimal_stopping,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,optimal_stopping,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,LinUCB,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,LinUCB,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,DQN,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,DQN,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,constrained_PPO,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,constrained_PPO,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
benign-only IsolationForest,isotonic,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,rule,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,rule,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,optimal_stopping,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,optimal_stopping,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,LinUCB,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,LinUCB,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,DQN,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,DQN,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,constrained_PPO,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,constrained_PPO,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,none,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,rule,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,rule,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,optimal_stopping,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,optimal_stopping,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,LinUCB,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,LinUCB,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,DQN,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,DQN,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,constrained_PPO,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,constrained_PPO,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,Platt,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,rule,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,rule,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,optimal_stopping,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,optimal_stopping,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,LinUCB,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,LinUCB,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,DQN,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,DQN,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,constrained_PPO,in_domain,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,constrained_PPO,future_time,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
temporal/SSL future,isotonic,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
